TIỀN CƠM CÁN BỘ CÔNG NHÂN VIÊN THÁNG 12-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Từ ngày 26/11/2025 đến ngày 25/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borma thời vụ S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Borma S3,4,4,4,3,,5,4,4,4,4,4,,4,4,4,4,4,4,,4,4,3,4,4,3,,4,4,,,94
Borma thời vụ S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Peeling S1,9,8,9,8,,8,7,8,8,8,7,,9,9,9,9,9,7,,11,9,9,8,8,9,,8,7,7,21,229
Peeling thời vụ S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Peeling S2,6,7,8,7,,9,9,9,9,8,8,,7,8,8,9,9,8,,6,8,7,7,7,6,,9,9,9,,197
Peeling thời vụ S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Peeling S3,9,9,9,8,,8,9,8,9,7,6,,8,8,8,8,8,8,,11,9,9,9,9,9,,8,8,,,202
Peeling thời vụ S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,2,,,,,,,,,,,,5,,,,,,,,,,,,,7
Machine Grading - shift 1 ,20,21,20,19,,20,21,21,21,21,21,,20,20,21,21,21,18,,24,26,23,26,27,26,,24,25,24,40,591
Machine Grading  - thời vụ 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Machine Grading  - shift 2,,,,,,19,19,19,19,19,18,,19,19,20,20,20,18,,,,,,,,,,,,,229
Machine Grading  thời vụ - shift 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Machine Grading  - shift 3,18,18,18,17,,,,,,,,,,,,,,,,13,15,14,15,15,14,,15,14,,,186
Machine Grading  thời vụ- shift 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual Grading -Shift 1 (Ms Huệ),47,48,46,40,,4,4,4,4,4,4,,3,3,4,4,4,4,,48,47,48,46,46,44,,6,4,4,4,524
Manual Grading Thời vụ -Shift 1 (Ms Huệ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual Grading -Shift 2 (Ms Huệ),,,,,,,,,,,,,39,42,42,40,40,41,,,,,,,,,,,,,244
Manual Grading Thời vụ -Shift 2 (Ms Huệ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual Grading -Shift 3 (Ms Huệ),,,,,,45,45,42,44,39,37,,,,,,,,,,,,,,,,39,41,42,43,417
Manual Grading Thời vụ -Shift 3 (Ms Huệ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,3,2,,,,,,,,,,1,1,,,,2,,,,,,,,,,,3,3,15
Manual peeling S1 - Liên,,,,,,,,,,,,,65,65,65,65,65,65,,,,,,,,,,,,,390
Manual peeling S1 thời vụ - Liên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S1 - Dung,,,,,,62,63,62,65,65,62,,,,,,,,,,,,,,,,67,69,67,29,611
Manual peeling S1 thời vụ - Dung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S2 - Liên,,,,,,65,65,67,68,68,66,,,,,,,,,,,,,,,,65,65,65,65,659
Manual peeling S2 thời vụ - Liên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S2 - Dung,63,63,67,62,,,,,,,,,,,,,,,,67,68,66,65,67,67,,,,,,655
Manual peeling S2 thời vụ - Dung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S3 - Liên,60,67,55,55,,,,,,,,,,,,,,,,57,55,60,60,57,55,,,,,,581
Manual peeling S3 thời vụ - Liên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S3 - Dung,,,,,,,,,,,,,63,62,63,63,61,62,,,,,,,,,,,,34,408
Manual peeling S3 thời vụ - Dung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,30
Packing S1,14,14,14,14,,12,12,12,13,13,13,,13,13,13,13,13,13,,13,12,13,13,13,13,,13,13,13,26,351
Packing thời vụ S1,,,,,,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,,,,,,12
Packing S2,,,,,,13,13,13,13,13,13,,13,12,12,12,12,12,,,,,,,,,,,,,151
Packing thời vụ S2,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,6
Packing S3,15,15,15,14,,,,,,,,,,,,,,13,13,13,13,13,13,,14,15,,,166
Packing OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Boiler worker S1,2,2,2,2,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,30
Boiler worker S2,1,1,1,1,,2,2,2,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,,,27
Boiler worker S3,,1,1,1,,,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,,1,,1,,,,20
Boiler OT,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
Maintenance S1,11,11,11,8,1,11,11,11,11,11,11,,11,11,10,11,11,11,,11,11,11,11,12,11,,12,12,12,12,288
Maintenance S2,2,2,2,1,,2,2,2,2,2,2,,2,2,2,2,2,2,,2,2,2,2,2,2,,2,2,2,2,51
Maintenance S3,2,2,2,2,,2,2,2,2,2,2,,2,2,2,2,2,2,,2,2,2,2,2,2,,2,2,2,2,52
Maintenance OT,,5,,3,,1,,,,,1,,,,,,,,,,,,,2,,,,,,2,14
