TIỀN CƠM CÁN BỘ CÔNG NHÂN VIÊN THÁNG 01-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Từ ngày 26/12/2025 đến ngày 25/01/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maintenance shelling S2,,,,,2,2,,2,2,,2,2,,,,,,,,,,,,,2,1,1,1,2,2,,21
Maintenance shelling S3,,,,,,,,3,3,,3,3,5,4,5,5,,2,2,4,5,6,6,,2,2,2,4,4,4,,74
OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Borma S1,9,7,,12,10,13,,6,6,,6,7,5,5,5,5,,4,4,4,4,4,4,,5,4,5,5,5,5,,149
Borma thời vụ S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Borma S2,1,1,,,,,,4,4,,4,4,5,4,4,4,,3,3,3,3,3,2,,2,1,2,5,5,4,,71
Borma thời vụ S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Borma S3,,,,,,,,4,4,,4,4,4,4,4,3,,5,5,5,5,5,5,,4,4,4,4,4,4,,85
Borma thời vụ S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Peeling S1,22,22,,25,24,21,,23,9,,7,8,7,7,7,7,,7,7,7,7,5,7,,7,7,7,7,7,7,,271
Peeling thời vụ S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Peeling S2,,,,,,,,,7,,7,6,9,9,9,9,,9,9,9,9,8,8,,10,9,10,10,8,8,,163
Peeling thời vụ S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Peeling S3,,,,,,,,2,8,,9,7,8,8,8,8,,8,8,8,7,8,7,,8,8,8,8,8,9,,153
Peeling thời vụ S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Machine Grading - shift 1 ,40,39,,38,41,42,,36,20,,25,26,26,26,25,24,,23,22,22,22,22,22,,21,21,21,21,21,19,,665
Machine Grading  - thời vụ 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Machine Grading  - shift 2,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,17
Machine Grading  thời vụ - shift 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Machine Grading  - shift 3,,,,,,,,,,,15,15,16,15,16,16,,19,18,19,18,19,16,,20,20,20,20,20,19,,321
Machine Grading  thời vụ- shift 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual Grading -Shift 1 (Ms Huệ),4,3,,39,44,46,,46,47,,45,45,45,45,46,44,,3,3,3,3,3,3,,3,2,3,3,3,3,,534
Manual Grading Thời vụ -Shift 1 (Ms Huệ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual Grading -Shift 2 (Ms Huệ),,,,,,,,,,,,,,,,,,,,,,,,,41,43,42,40,41,40,,247
Manual Grading Thời vụ -Shift 2 (Ms Huệ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual Grading -Shift 3 (Ms Huệ),38,40,,,,,,,,,,,,,,,,41,43,42,41,41,42,,,,,,,,,328
Manual Grading Thời vụ -Shift 3 (Ms Huệ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Manual peeling S1 - Liên,,,,,,,,,,,,,,,,,,65,65,65,65,65,70,,,,,,,,,395
Manual peeling S1 thời vụ - Liên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S1 - Dung,26,31,,,,,,,,,,,,,,,,,,,,,,,68,69,67,70,66,65,,462
Manual peeling S1 thời vụ - Dung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S2 - Liên,60,65,,,,,,,,,65,65,65,65,65,65,,,,,,,,,,,,,,,,515
Manual peeling S2 thời vụ - Liên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S2 - Dung,,,,60,60,60,,59,64,,,,,,,,,67,68,67,67,68,69,,,,,,,,,709
Manual peeling S2 thời vụ - Dung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S3 - Liên,,,,60,55,,,57,60,,,,,,,,,,,,,,,,55,55,57,60,58,57,,574
Manual peeling S3 thời vụ - Liên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S3 - Dung,30,30,,,,,,,,,66,67,64,66,65,63,,,,,,,,,,,,,,,,451
Manual peeling S3 thời vụ - Dung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Packing S1,26,20,,26,25,25,,26,13,,13,13,13,13,13,13,,13,13,13,13,13,13,,13,13,13,13,13,13,,395
Packing thời vụ S1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Packing S2,,7,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,20
Packing thời vụ S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Packing S3,,,,,,,,,,,16,15,15,15,15,15,,13,13,13,13,13,13,,14,16,15,15,16,16,,261
Packing OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Boiler worker S1,2,2,,3,1,1,,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,28
Boiler worker S2,,,,,1,1,,1,,,1,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,1,,19
Boiler worker S3,,,,,,,,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,20
Boiler OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Maintenance S1,11,10,,16,14,15,,10,11,,12,12,12,12,11,12,,10,11,12,12,11,11,2,11,12,12,12,11,11,,296
Maintenance S2,2,2,,,1,1,,2,2,,2,2,2,2,2,2,,2,2,2,2,2,2,,2,2,2,2,2,1,,45
Maintenance S3,2,2,,,,,,2,2,,2,2,2,2,2,2,,2,2,2,2,2,2,,2,2,2,2,2,2,,44
Maintenance OT,,,,,,,,,,,,,,1,,,,4,4,,2,,,,,,2,6,,,,19
Cleaning worker,8,8,,8,8,8,,8,8,,7,7,7,8,8,8,,8,8,6,8,8,8,,8,8,8,8,8,8,,195
Cleaning worker S2,1,1,,1,1,1,,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,25
Cleaning worker S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
QC,26,26,,23,23,19,,24,13,,12,12,13,13,13,13,,13,13,13,13,13,13,,13,13,13,13,13,13,,386
QC S2,,,,,,,,,8,,4,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,4,4,4,,80
QC S3,,,,,,,,,4,,8,8,8,8,8,8,,8,8,8,8,8,8,,8,8,8,8,8,8,,148
QC OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Office 1,24,3,,20,25,19,,18,7,,20,20,19,20,20,2,,20,20,16,20,22,3,,20,20,20,17,18,3,,416
Office 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Office 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Total,419,401,0,414,422,355,0,420,415,0,440,446,439,444,445,411,0,443,448,433,440,441,421,2,430,434,440,448,434,412,0,10697
